timestamp,scenario,user_personality,condition,bot_llm,user_llm,repetition,filename,emotional_charge,syntactic_complexity,dialectic_density,total_words,avg_processing_time_s,z_emotional_charge,z_syntactic_complexity,z_dialectic_density,ICCA
20250710,convergente,conciliador,bot,chatgpt,chatgpt,1,conversation_20250710_convergente_pers-conciliador_cond-bot_bot-chatgpt_user-chatgpt_rep-1.csv,0.9474,31.3196,8.2645,1331,2.4456,2.4883,-0.0518,-0.9637,0.4909
20250710,convergente,conciliador,bot,chatgpt,chatgpt,10,conversation_20250710_convergente_pers-conciliador_cond-bot_bot-chatgpt_user-chatgpt_rep-10.csv,0.7553,28.9574,6.6390,1205,2.5653,1.3764,-0.2094,-1.0125,0.0515
20250710,convergente,conciliador,bot,chatgpt,chatgpt,2,conversation_20250710_convergente_pers-conciliador_cond-bot_bot-chatgpt_user-chatgpt_rep-2.csv,0.6196,25.1542,3.5273,1134,1.8535,0.5910,-0.4632,-1.1058,-0.3260
20250710,convergente,conciliador,bot,chatgpt,chatgpt,3,conversation_20250710_convergente_pers-conciliador_cond-bot_bot-chatgpt_user-chatgpt_rep-3.csv,0.5455,24.5712,8.2850,1207,2.1321,0.1622,-0.5021,-0.9631,-0.4343
20250710,convergente,conciliador,bot,chatgpt,chatgpt,4,conversation_20250710_convergente_pers-conciliador_cond-bot_bot-chatgpt_user-chatgpt_rep-4.csv,0.8800,22.0570,8.4388,1185,2.1747,2.0982,-0.6698,-0.9585,0.1566
20250710,convergente,conciliador,bot,chatgpt,chatgpt,5,conversation_20250710_convergente_pers-conciliador_cond-bot_bot-chatgpt_user-chatgpt_rep-5.csv,0.6702,27.2848,5.7190,1224,2.2251,0.8839,-0.3210,-1.0401,-0.1591
20250710,convergente,conciliador,bot,chatgpt,chatgpt,6,conversation_20250710_convergente_pers-conciliador_cond-bot_bot-chatgpt_user-chatgpt_rep-6.csv,0.8302,12.8974,5.1591,1163,1.9811,1.8099,-1.2809,-1.0569,-0.1759
20250710,convergente,conciliador,bot,chatgpt,chatgpt,7,conversation_20250710_convergente_pers-conciliador_cond-bot_bot-chatgpt_user-chatgpt_rep-7.csv,0.8404,23.7644,12.9032,1240,2.2621,1.8690,-0.5559,-0.8245,0.1629
20250710,convergente,conciliador,bot,chatgpt,chatgpt,8,conversation_20250710_convergente_pers-conciliador_cond-bot_bot-chatgpt_user-chatgpt_rep-8.csv,0.6374,27.1999,3.3278,1202,2.5492,0.6941,-0.3267,-1.1118,-0.2481
20250710,convergente,conciliador,bot,chatgpt,chatgpt,9,conversation_20250710_convergente_pers-conciliador_cond-bot_bot-chatgpt_user-chatgpt_rep-9.csv,0.6809,26.0772,9.0610,1214,2.7676,0.9458,-0.4016,-0.9398,-0.1319
